Date,FTSE_Open,FTSE_High,FTSE_Low,FTSE_Close,FTSE_Adj Close,FTSE_Volume
"Apr 29, 1987","2,028.40","2,040.40","2,028.40","2,038.60","2,038.60",-
"Apr 28, 1987","1,997.30","2,025.70","1,997.30","2,022.10","2,022.10",-
"Apr 27, 1987","2,001.50","2,002.30","1,979.80","1,986.60","1,986.60",-
"Apr 24, 1987","1,982.30","2,005.10","1,982.30","2,001.50","2,001.50",-
"Apr 23, 1987","1,955.70","1,968.60","1,948.10","1,968.30","1,968.30",-
"Apr 22, 1987","1,950.40","1,961.90","1,950.40","1,955.70","1,955.70",-
"Apr 21, 1987","1,949.40","1,951.70","1,931.70","1,940.20","1,940.20",-
"Apr 20, 1987","1,949.40","1,949.40","1,949.40","1,949.40","1,949.40",-
"Apr 17, 1987","1,949.40","1,949.40","1,949.40","1,949.40","1,949.40",-
"Apr 16, 1987","1,932.10","1,949.40","1,932.10","1,949.40","1,949.40",-
"Apr 15, 1987","1,922.20","1,940.70","1,922.20","1,922.20","1,922.20",-
"Apr 14, 1987","1,917.10","1,927.60","1,903.30","1,908.90","1,908.90",-
"Apr 13, 1987","1,925.20","1,925.20","1,914.50","1,917.10","1,917.10",-
"Apr 10, 1987","1,960.50","1,960.50","1,921.00","1,936.70","1,936.70",-
"Apr 09, 1987","1,976.70","1,994.00","1,962.80","1,962.80","1,962.80",-
"Apr 08, 1987","1,980.70","1,980.70","1,961.20","1,976.70","1,976.70",-
"Apr 07, 1987","1,987.90","1,987.90","1,977.20","1,987.00","1,987.00",-
"Apr 06, 1987","1,982.90","1,994.40","1,982.90","1,989.60","1,989.60",-
"Apr 03, 1987","1,982.60","1,982.60","1,951.20","1,965.10","1,965.10",-
"Apr 02, 1987","1,983.00","1,992.60","1,983.00","1,987.70","1,987.70",-
"Apr 01, 1987","1,997.60","1,999.70","1,961.70","1,973.10","1,973.10",-
"Mar 31, 1987","2,002.50","2,005.20","1,981.50","1,997.60","1,997.60",-
"Mar 30, 1987","2,046.10","2,046.10","1,993.70","2,002.50","2,002.50",-
"Mar 27, 1987","2,040.40","2,060.30","2,040.40","2,048.60","2,048.60",-
"Mar 26, 1987","2,042.90","2,045.70","2,021.20","2,037.80","2,037.80",-
"Mar 25, 1987","2,056.20","2,058.20","2,034.60","2,042.90","2,042.90",-
"Mar 24, 1987","2,049.50","2,064.50","2,049.50","2,056.20","2,056.20",-
"Mar 23, 1987","2,017.50","2,033.20","2,008.60","2,033.00","2,033.00",-
"Mar 20, 1987","2,002.00","2,017.80","2,002.00","2,017.50","2,017.50",-
"Mar 19, 1987","2,000.60","2,000.60","1,985.80","1,991.00","1,991.00",-
"Mar 18, 1987","2,006.30","2,019.00","2,004.10","2,006.60","2,006.60",-
"Mar 17, 1987","1,991.80","2,021.00","1,991.50","2,006.30","2,006.30",-
"Mar 16, 1987","1,999.40","1,999.40","1,989.80","1,991.80","1,991.80",-
"Mar 13, 1987","1,995.70","2,004.30","1,995.70","2,000.00","2,000.00",-
"Mar 12, 1987","1,979.40","1,989.70","1,973.70","1,989.70","1,989.70",-
"Mar 11, 1987","1,987.70","1,995.30","1,977.60","1,979.40","1,979.40",-
"Mar 10, 1987","1,973.70","1,987.90","1,965.70","1,987.70","1,987.70",-
"Mar 09, 1987","1,991.00","1,991.00","1,969.50","1,973.70","1,973.70",-
"Mar 06, 1987","1,998.70","1,998.70","1,987.90","1,998.20","1,998.20",-
"Mar 05, 1987","2,002.70","2,013.50","1,999.70","2,002.80","2,002.80",-
"Mar 04, 1987","2,001.80","2,021.50","2,001.80","2,002.70","2,002.70",-
"Mar 03, 1987","1,983.10","1,998.30","1,967.70","1,998.30","1,998.30",-
