Date,KLSE_Open,KLSE_High,KLSE_Low,KLSE_Close,KLSE_AdjClose,KLSE_Volume
"Mar 04, 2015","1,825.66","1,826.05","1,819.18","1,825.54","1,825.54","14,18,30,300"
"Mar 03, 2015","1,820.43","1,825.79","1,817.94","1,821.25","1,821.25","14,97,18,400"
"Mar 02, 2015","1,822.91","1,825.33","1,812.35","1,817.13","1,817.13","13,52,43,600"
"Feb 27, 2015","1,822.27","1,825.65","1,811.74","1,821.21","1,821.21","18,54,36,300"
"Feb 26, 2015","1,813.88","1,821.67","1,812.90","1,820.87","1,820.87","11,73,49,600"
"Feb 25, 2015","1,818.22","1,818.35","1,808.65","1,815.86","1,815.86","13,96,25,900"
"Feb 24, 2015","1,812.01","1,819.24","1,812.01","1,818.68","1,818.68","14,22,33,200"
"Feb 23, 2015","1,811.01","1,812.75","1,804.95","1,809.39","1,809.39","12,20,63,200"
"Feb 18, 2015","1,806.54","1,815.95","1,806.17","1,807.87","1,807.87","6,29,64,300"
"Feb 17, 2015","1,808.41","1,810.90","1,804.52","1,810.09","1,810.09","8,10,90,400"
"Feb 16, 2015","1,804.94","1,809.71","1,800.24","1,808.89","1,808.89","13,55,31,000"
"Feb 13, 2015","1,791.68","1,800.95","1,790.31","1,800.95","1,800.95","14,48,16,900"
"Feb 12, 2015","1,790.69","1,791.00","1,780.21","1,789.07","1,789.07","17,52,44,600"
"Feb 11, 2015","1,810.98","1,812.08","1,790.80","1,798.95","1,798.95","13,79,60,500"
"Feb 10, 2015","1,812.74","1,816.62","1,808.69","1,811.12","1,811.12","14,39,61,300"
"Feb 09, 2015","1,815.62","1,818.31","1,805.16","1,811.58","1,811.58","11,82,28,300"
"Feb 06, 2015","1,806.31","1,814.30","1,806.07","1,809.44","1,809.44","14,48,50,600"
"Feb 05, 2015","1,803.79","1,804.25","1,796.41","1,803.09","1,803.09","14,16,40,900"
"Feb 04, 2015","1,814.72","1,831.41","1,801.09","1,803.02","1,803.02","20,56,70,000"
"Jan 30, 2015","1,788.36","1,789.39","1,781.26","1,781.26","1,781.26","16,14,01,900"
"Jan 29, 2015","1,791.59","1,794.82","1,779.17","1,782.18","1,782.18","16,40,67,800"
"Jan 28, 2015","1,794.76","1,800.64","1,790.02","1,795.88","1,795.88","15,59,63,200"
"Jan 27, 2015","1,789.96","1,810.21","1,788.55","1,803.17","1,803.17","17,18,41,200"
"Jan 26, 2015","1,800.49","1,801.06","1,792.65","1,796.44","1,796.44","13,13,80,100"
"Jan 23, 2015","1,792.47","1,809.33","1,788.78","1,803.08","1,803.08","21,37,16,000"
"Jan 22, 2015","1,767.74","1,787.91","1,763.68","1,781.75","1,781.75","21,24,20,500"
"Jan 21, 2015","1,752.90","1,770.09","1,751.46","1,770.09","1,770.09","17,31,19,700"
"Jan 20, 2015","1,754.21","1,754.34","1,745.64","1,750.11","1,750.11","12,31,44,400"
"Jan 19, 2015","1,745.50","1,755.12","1,745.50","1,753.31","1,753.31","13,08,47,300"
